,dGr_prime,SD of dGr_prime
r_0243,10.254199028015151,2.942352294921875
r_0244,-53.09134628893757,4.586715120164185
r_0249,-15.341879710142862,5.284801006317139
r_0250,-12.83114276151945,2.4692394892277223
r_0252,-0.3072220580439122,1.0809184312820435
r_0253,-0.5844368935164681,1.0809170007705688
r_0254,15.716954871346644,1.0809155702590942
r_0255,-183.44877980725238,7.2573161125183105
r_0256,-183.4486403547639,7.2573161125183105
r_0259,-398.4567056584314,2.1412254721077053
r_0260,-387.8856862614592,3.463579074509967
r_0261,-398.4566910099939,2.1412447196286233
r_0262,-387.88566428880296,3.4636061994646443
r_0263,-42.06991976046501,3.8512983729610157
r_0264,-42.069955466031885,3.8513545110476755
r_0265,-42.02148111918562,3.9323048594583216
r_0266,-42.02150217631497,3.9323205167736406
r_0267,-387.8856236050039,3.4635592322900313
r_0268,-387.88561628078514,3.4635775890176186
r_0269,-399.319431411433,2.572610370968772
r_0270,-399.31945094268303,2.5725982794346898
r_0271,,
r_0272,,
r_0273,-16.618861323988124,0.611234732040457
r_0274,0.05452016620478972,2.3004161113638895
r_0278,-42.84873250284036,12.409134864807129
r_0279,-29.913923426872536,5.1584978103637695
r_0280,-0.4869713113504659,0.9837864637374878
r_0281,-68.005859375,3.5819976329803467
r_0282,-68.00585174560547,3.5819737911224365
r_0283,-68.00584411621094,3.5819945335388184
r_0284,-68.00586700439453,3.581974506378174
r_0285,-68.00585174560547,3.582000255584717
r_0286,-68.00586700439453,3.581977367401123
r_0287,-68.00587463378906,3.5819578170776367
r_0288,-68.00588989257812,3.5819804668426514
r_0289,-68.0058364868164,3.582012891769409
r_0290,-68.0058822631836,3.5819895267486572
r_0291,-68.0058364868164,3.582029104232788
r_0292,-68.00593566894531,3.5819716453552246
r_0293,-68.00582885742188,3.5819578170776367
r_0294,-68.00586700439453,3.58201003074646
r_0295,-68.0058822631836,3.5820062160491943
r_0296,-68.00582885742188,3.5818722248077393
r_0297,-68.00582122802734,3.5819737911224365
r_0298,-68.0058822631836,3.5818660259246826
r_0299,-68.00582122802734,3.5820810794830322
r_0300,-50.87230122822089,0.4836073006423443
r_0301,-35.76841197804591,0.4836103959345037
r_0302,8.235924712118784,0.9688136577606201
r_0303,8.31789628785812,0.9688136577606201
r_0304,-362.0866078975949,8.958355599568927
r_0306,-15.723787030025356,1.4522549617666727
r_0307,-3.9788029332655195,0.9987035849192367
r_0308,6.249728608703208,3.08787202835083
r_0309,-34.547098559223315,2.983370065689087
r_0310,4.357519656052697,2.918586015701294
r_0311,-50.246223774889174,3.2323824712452858
r_0312,-48.18203225940565,2.9095044136047363
r_0313,,
r_0314,-22.025648350062887,0.9229656494811472
r_0315,-15.249125247610587,0.4125502311654693
r_0317,-1286.7437562401985,13.880070995906223
r_0318,-22.53925578459191,1.6584543735059312
r_0319,-146.6325265689116,7.58406194576123
r_0320,-9.422742767509883,1.2258147360266123
r_0321,-9.422774963026427,1.2257957945743572
r_0322,21.30265659423153,0.6808773875236511
r_0323,18.150469107965552,0.7581786224824593
r_0326,-22.0240755409168,0.9229545968350163
r_0327,-22.02767036379554,0.9229547369413681
r_0328,-22.69219731878816,0.5803458311064017
r_0329,-22.023955675584034,0.9229641219663638
r_0330,-1.3743460540602328,0.15034867823123932
r_0331,-32.76310810326021,83.80307006835938
r_0332,-15.247916033968139,0.4125881503684702
r_0334,-17.3832048532795,1.7680860570743167
r_0335,-26.028238786686792,6.926701528820791
r_0340,-14.982439863943208,3.697390556335449
r_0341,-14.98245703008113,3.697450637817383
r_0342,14.933990922981216,3.782968521118164
r_0343,14.934001413398896,3.782972574234009
r_0344,-22.756994673684957,1.6684380082712464
r_0345,-22.739374623502886,1.6684509685517843
r_0346,-1.0424694385935698,6.095529824306534
r_0347,12.68920311917019,2.7665934562683105
